1er janvier===6
Ces expériences===1
Ces impressions===1
Ces jeunes===1
Ces jours===1
Ces mots===1
Ces obstacles===1
Ces paroles===2
Cet accent===1
Cet escalier===1
Cet espoir===1
Cet oncle===1
Cette Rachel===1
Cette crainte===1
Cette différence===1
Cette image===1
Cette manie===1
Cette manière===1
Cette marquise===1
Cette peau===1
Cette réputation===1
Cette surprise===1
Chacun a===1
Champs-Élysées et===1
Champs-Élysées les===1
Champs-Élysées m'avaient===1
Champs-Élysées porter===1
Champs-Élysées une===1
Chandelier de===1
Chantre aux===1
Chantre et===1
Chaque fois===1
Chaque soir===1
Chaque visite===1
Charles Swann===2
Charles que===1
Charles vous===1
Charmant milieu===1
Chartres et===1
Charvet et===1
Chateaubriand d'Atala===1
Chateaubriand l'avait===1
Chateaubriand qu'ils===1
Chenut qui===1
Chez cet===1
Chine de===1
Chine ou===1
Chère Mme===1
Combien croyez-vous===1
Combien de===1
Combien y===1
Combray en===1
Combray et===2
Combray l'erreur===1
Combray ne===1
Combray qu'il===1
Comme Bergotte===2
Comme Odette===1
Comme des===1
Comme dit===1
Comme elles===1
Comme je===3
Comme les===2
Comme nous===1
Comme un===1
Comme vous===2
Comme à===1
Comme ça===1
Comment Mme===1
Comment a-t-il===1
Comment allait-elle===1
Comment allez-vous===1
Comment aurais-je===1
Comment dites-vous===1
Comment encore===1
Comment oublier===1
Comment pouvais-je===1
Comment pouvait-il===1
Comment va===1
Comment voulez-vous===1
Commission après===1
Commission où===1
Commission tout===1
Compagnie des===1
Compiègne et===1
Comte de===1
Concours hippique===1
Consolidés Anglais===1
Cottard adoptèrent===1
Cottard au===2
Cottard avaient===1
Cottard bien===1
Cottard disait===1
Cottard du===1
Cottard en===1
Cottard et===5
Cottard eurent===1
Cottard furent===1
Cottard fût===1
Cottard me===1
Cottard montrait===1
Cottard pour===1
Cottard puisse===1
Cottard que===2
Cottard qui===2
Cottard restant===1
Cottard toute===1
Cottard vous===1
Cottard était===1
Cousin Bête===1
Critique de===1
Croyant la===1
Crécy vous===1
Cynghalais dont===1
Cynghalais ou===1
D'abord elle===1
D'ailleurs aux===1
D'ailleurs en===1
D'ailleurs il===1
D'ailleurs ils===1
D'ailleurs qui===1
D'ailleurs si===1
D'ailleurs toute===1
D'autant plus===3
D'autre part===2
D'autres femmes===1
Dans ce===2
Dans certains===1
Dans l'entrebâillement===1
Dans l'un===1
Dans la===3
Dans le===2
Dans les===1
Dans leur===1
Dans ma===1
Dans mon===1
Dans un===1
Dans une===2
Daudet qui===1
De Marsantes===2
De Norpois===1
De Vaugoubert===1
De celle-là===1
De cette===1
De deux===1
De l'autre===1
De la===1
De là===1
De mes===1
De même===3
De plus===2
De ses===1
De sorte===9
De tout===1
Deffant du===1
Depuis bien===1
Depuis longtemps===1
Depuis quelque===1
Dernièrement encore===1
Des femmes===1
Des gens===1
Des étrennes===1
Destin veut===1
Deux heures===1
Devant les===1
Dieu c'est===1
Dieu je===2
Dieu que===1
Dieux régnant===1
Directeur du===1
Disons pour===1
Dites donc===1
Divinité sans===1
Dix-neuf fois===1
Docteur Cottard===1
Donnez-moi une===1
Dostoïevski car===1
