expression,0,1,2,3,4,5,6
Amsterdam,0,0,1,1,2,2,0
Balbec,33,152,107,171,142,110,48
Berlin,0,0,3,1,1,1,1
Cabourg,1,0,0,0,0,0,0
Combray,132,47,70,36,32,42,68
Deauville,0,0,1,1,0,0,0
Lille,0,0,0,0,0,0,0
Londres,0,3,2,2,1,0,0
Lyon,1,0,0,1,0,0,0
Madrid,1,0,0,0,1,0,0
Marseille,0,0,0,0,0,0,0
New-York,0,1,0,0,0,0,0
Paris,61,77,106,116,49,45,83
Rennes,0,1,0,1,0,0,0
Rome,1,5,1,2,0,2,1
Strasbourg,0,1,0,0,1,0,1
Trouville,0,0,0,0,0,0,1
