expression,count
monsieur de charlus,1180
mme de guermantes,530
ce n'est pas,408
mme de villeparisis,365
de monsieur de,304
la princesse de,294
tout le monde,294
il y avait,292
pour ne pas,264
monsieur de norpois,247
tout à fait,244
je ne sais,244
quelque chose de,243
au moment où,225
la duchesse de,223
tout de même,210
la première fois,209
ce n'était pas,208
je n'avais pas,203
