expression,count
Bach,9
Balzac,48
Barrès,8
Boileau,1
Chateaubriand,27
Claudel,3
Corneille,5
Daudet,3
Flaubert,5
Maupassant,0
Maurras,3
Molière,20
Nietzsche,7
Racine,39
Rousseau,5
Sade,0
Saint-Simon,33
Sand,12
Schopenhauer,2
Voltaire,5
Wagner,34
