expression,0,1,2,3,4,5,6
!,525,323,543,508,289,151,165
",",13576,15821,19299,18992,15433,8656,12270
.,3853,5440,6858,6949,4667,2986,3712
...,75,65,103,108,45,33,32
:,591,521,603,695,479,301,353
;,747,661,741,611,524,279,286
?,293,258,450,454,402,231,186
