expression,0,1,2,3,4,5,6
baron,5,10,31,178,140,12,72
baronnesse,0,0,0,0,0,0,0
chevalier,0,2,4,2,2,0,1
comte,5,14,15,15,1,4,5
comtesse,4,3,13,21,6,2,7
duc,15,18,278,107,23,27,39
duchesse,22,28,411,91,49,55,124
marquis,4,19,31,39,3,27,8
marquise,9,20,56,66,1,15,11
prince,16,27,168,93,23,36,50
princesse,70,42,282,191,23,35,61
reine,5,9,39,15,33,3,5
roi,10,36,56,29,11,8,18
vicomte,1,0,1,6,0,1,3
vicomtesse,1,0,7,2,1,2,2
