variable,0,1,2,3,4,5,6
203,1,0,0,0,0,0,0
204,1,0,0,0,0,0,0
205,0,0,1,0,0,0,0
206,0,1,1,0,0,0,0
207,1,0,0,0,0,0,1
208,1,0,0,0,0,0,0
209,1,0,0,0,0,0,1
210,0,0,1,0,0,1,0
211,0,0,0,0,1,0,0
212,1,0,0,1,0,0,0
213,1,1,1,0,0,0,0
216,1,1,0,0,0,0,0
218,1,0,0,0,0,0,0
219,1,0,0,0,0,0,0
220,0,0,0,0,1,0,0
221,0,1,0,0,0,0,0
222,1,0,0,0,0,0,0
224,0,0,0,1,0,1,0
225,0,0,0,0,0,0,1
227,0,0,0,0,1,0,0
233,0,1,0,0,0,0,0
236,0,1,0,0,0,0,0
237,0,0,0,0,0,0,1
238,0,1,0,0,0,0,0
239,0,0,0,1,0,0,0
242,1,0,0,0,0,0,0
243,0,1,0,0,0,0,1
247,1,0,0,0,0,0,0
248,0,0,0,0,1,0,0
255,0,0,1,0,0,0,0
256,1,0,0,0,0,0,0
258,1,0,0,0,0,0,0
259,1,0,0,0,0,1,0
261,0,1,0,0,0,0,0
263,0,1,0,0,0,0,0
266,0,0,1,0,0,1,0
273,0,0,0,0,0,0,1
275,1,0,0,0,0,0,0
291,0,0,1,0,0,0,0
292,0,0,0,0,1,0,0
300,0,0,0,0,0,1,0
320,0,0,1,0,0,0,0
351,1,0,0,0,0,0,0
365,1,0,0,0,0,0,0
394,0,0,0,0,1,0,0
485,1,0,0,0,0,0,0
844,0,0,0,1,0,0,0
