expression,count
Amsterdam,6
Balbec,763
Berlin,7
Cabourg,1
Combray,427
Deauville,2
Lille,0
Londres,8
Lyon,2
Madrid,2
Marseille,0
New-York,1
Paris,537
Rennes,2
Rome,12
Strasbourg,3
Trouville,1
