expression,count
Albertine,1493
Andrée,271
Bergotte,301
Berma,154
Bloch,485
Brichot,310
Cambremer,390
Charlus,1288
Cottard,374
Elstir,184
Forcheville,175
Françoise,795
Gilberte,703
Guermantes,1743
Marcel,5
Morel,511
Norpois,301
Odette,442
Robert,376
Saint-Loup,780
Swann,1644
Verdurin,1173
Villeparisis,397
Vinteuil,306
