—===2
—has===1
—in===1
—one===1
—tears===1
—that===1
—the===1
—these===1
——===1
——The===1
‘===43
’===144
“===480
”===293
!===239
#===1
$===2
%===1
''===11
'===1
'AS-IS===1
's===6
(===39
)===39
*****===2
***===6
,===5109
--===2
-===7
.===2975
//gutenberg.net/license===1
//pglaf.org/donate===1
//pglaf.org/fundraising===1
//pglaf.org===2
//www.gutenberg.net===1
//www.gutenberg.org/8/84/===1
//www.pglaf.org===1
1.A===1
1.B===1
1.C===2
1.D===1
1.E.1===5
1.E.2===1
1.E.3===1
1.E.4===1
1.E.5===1
1.E.6===1
1.E.7===3
1.E.8===4
1.E.9===3
1.E===2
1.F.1===1
1.F.2===1
1.F.3===4
1.F.4===1
1.F.5===1
1.F.6===1
1.F===1
10===2
11===2
11th===2
12===2
12th===2
13===3
13th===1
14===2
1500===1
15===2
16===2
17===3
17—===10
18===2
18th===2
19===2
19th===1
1===6
2001===1
2008===1
2018===1
20===3
21===2
22===2
23===2
24===2
26th===1
27th===1
28th===1
2===5
2d===1
30===1
31st===1
3===9
4557===1
4===7
5,000===1
501===2
50===1
596-1887===1
5===3
5th===2
60===1
64-6221541===1
6===2
7===2
7th===3
801===1
809===1
84-0.txt===1
84-0.zip===1
84116===1
84===1
8===2
90===2
99712.===1
9===2
9th===1
:===70
;===972
?===220
@===2
A===46
ACTUAL===1
AGREE===2
AGREEMENT===1
AK===1
AND===1
ANY===3
ANYTHING===1
ASCII===2
Abbey===1
Abhorred===1
About===7
Absence===1
Accordingly===2
Accursed===1
Adam===3
Additional===1
Adieu===2
Africa===1
After===17
Again===4
Agatha===21
Agrippa===8
Ah===7
Al===2
Alas===19
Albertus===3
All===11
Almost===1
Alphonse===1
Alpine===2
Alps===5
Although===2
Am===2
America===3
American===1
Amidst===1
Among===2
An===2
Ancient===2
And===39
Andes===1
Andrew===1
Angel===1
Angelica—she===1
Anguish===1
Another===3
Answer===1
Any===1
Arab===1
Arabian===13
Arabic===2
Archangel===4
Archive===13
Are===6
Ariosto===1
Armada===1
Arthur===2
Arve===3
Arveiron===1
As===46
Asia===2
Asiatics===1
At===27
Atlantic===1
August===6
Austria===1
Austrian===1
Author===1
Autumn===1
Awake===1
Ay===2
B.===1
BE===1
BEFORE===1
BREACH===2
BUT===1
Be===7
Beaufort===7
Beautiful===1
Because===1
Before===8
Begone===7
Behold===1
Being===1
Believe===1
Beloved===2
Below===1
Belrive===4
Bernard===1
Besides===6
Between===1
Beware===1
Beyond===1
Biron===1
Black===1
Blanc===8
Blasted===1
Boss===2
Boy===1
Britain===2
But===138
By===17
CONSEQUENTIAL===1
CONTENTS===1
CONTRACT===1
Can===2
Captain===1
Caroline===3
Catholic===1
Cease===1
Cenis===1
Certainly===1
Chamounix===5
Chance—or===1
Chapter===48
Character===1
Charles===1
Chase===1
Chemistry===1
Chief===1
Child===1
Christian===3
Christianity===1
Christy===2
Chêne===1
City===1
Clerval===55
Clerval—===1
Clerval—all===1
Clerval—and===1
Clerval—could===1
Clouds===1
Cold===1
Coleridge===1
Cologne===1
Come===5
Como===2
Company===1
Compliance===1
Compose===1
Concerning===1
Constantinople===2
Contact===1
Continue===1
Continuing===1
Contributions===1
Copyright===1
Copêt===1
Cornelius===6
Could===6
Coupar===1
Cousin===1
Covered===1
Creating===1
Creator===2
Cumberland===3
Curiosity===1
Cursed===4
Cæsar===1
D—n===1
DAMAGE===1
DAMAGES===2
DIRECT===1
DISCLAIMER===1
DISTRIBUTE===1
DISTRIBUTOR===1
DONATIONS===1
Daniel===3
Dante===1
Darkness===2
Date===1
David===2
Day===2
De===9
Dear===6
Dearest===2
Death===1
Dec.===1
December===1
Defect===1
Defects===1
Delighted===1
Depart===1
Deprived===1
Derby===1
Despair===2
Despite===1
Despondency===1
Destiny===1
Destruction===1
Devil===2
Did===4
Director===1
Do===25
Does===1
Domain===1
Donations===2
Doth===2
Doubtless===1
Dr.===2
Drance===1
During===18
Dutch===1
Duvillard===1
EBOOK===2
EBook===2
EIN===1
END===1
EVEN===1
EXCEPT===1
EXPRESS===1
Early===1
East===1
Eastern===1
Edinburgh===4
Elizabeth—and===1
Elizabeth===90
Email===1
Embrace===1
Empires_===1
End===1
England._===4
England===17
English===9
Englishman===2
Englishmen===1
Enter===2
Entreating===1
Ernest===13
Esq===1
Europe===2
European===2
Eve===1
Even===13
Ever===3
Every===5
Everybody===1
Everyone===1
Everything===3
Everywhere===2
Evian===2
Evil===1
Excellent===2
Except===2
Executive===1
Exhaustion===1
Explanation===1
F3===1
FITNESS===1
FOR===3
FOUNDATION===1
FRANKENSTEIN===2
FULL===2
Fairbanks===1
Fairy-land===1
Falkland===1
Farewell===7
Fear===2
February===1
Felix===49
Fiend===2
Filled===1
Finding===1
